Database	Accession	Data Type	Species	Title	Url	Description	Update Date	Attributes
deg	DEG10480281	gene	[Escherichia coli ST131 strain EC958]	DEG10480281	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480281	transcription termination factor rho	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480280	gene	[Escherichia coli ST131 strain EC958]	DEG10480280	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480280	bifunctional protein GlmU	2019-08-26T08:18:18.000Z	{"GeneName":"glmU","refseq":"HG941718"}
deg	DEG10480279	gene	[Escherichia coli ST131 strain EC958]	DEG10480279	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480279	L-glutamine:D-fructose-6-phosphate aminotransferase	2019-08-26T08:18:18.000Z	{"GeneName":"glmS","refseq":"HG941718"}
deg	DEG10480278	gene	[Escherichia coli ST131 strain EC958]	DEG10480278	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480278	Membrane protein insertase YidC	2019-08-26T08:18:18.000Z	{"GeneName":"yidC","refseq":"HG941718"}
deg	DEG10480277	gene	[Escherichia coli ST131 strain EC958]	DEG10480277	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480277	ribonuclease P protein component	2019-08-26T08:18:18.000Z	{"GeneName":"rnpA","refseq":"HG941718"}
deg	DEG10480276	gene	[Escherichia coli ST131 strain EC958]	DEG10480276	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480276	50S ribosomal protein L34	2019-08-26T08:18:18.000Z	{"GeneName":"rpmH","refseq":"HG941718"}
deg	DEG10480275	gene	[Escherichia coli ST131 strain EC958]	DEG10480275	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480275	chromosomal replication initiator protein DnaA	2019-08-26T08:18:18.000Z	{"GeneName":"dnaA","refseq":"HG941718"}
deg	DEG10480274	gene	[Escherichia coli ST131 strain EC958]	DEG10480274	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480274	DNA polymerase III, beta-subunit	2019-08-26T08:18:18.000Z	{"GeneName":"dnaN","refseq":"HG941718"}
deg	DEG10480273	gene	[Escherichia coli ST131 strain EC958]	DEG10480273	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480273	DNA gyrase subunit B	2019-08-26T08:18:18.000Z	{"GeneName":"gyrB","refseq":"HG941718"}
deg	DEG10480272	gene	[Escherichia coli ST131 strain EC958]	DEG10480272	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480272	guanylate kinase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480271	gene	[Escherichia coli ST131 strain EC958]	DEG10480271	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480271	deoxyuridine 5'-triphosphatenucleotidohydrolase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480270	gene	[Escherichia coli ST131 strain EC958]	DEG10480270	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480270	flavoprotein affecting synthesis of DNA and pantothenate metabolism	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480269	gene	[Escherichia coli ST131 strain EC958]	DEG10480269	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480269	50S ribosomal subunit protein L28	2019-08-26T08:18:18.000Z	{"GeneName":"rpmB","refseq":"HG941718"}
deg	DEG10480268	gene	[Escherichia coli ST131 strain EC958]	DEG10480268	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480268	phosphopantetheine adenylyltransferase	2019-08-26T08:18:18.000Z	{"GeneName":"kdtB","refseq":"HG941718"}
deg	DEG10480267	gene	[Escherichia coli ST131 strain EC958]	DEG10480267	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480267	3-deoxy-D-manno-octulosonic-acidtransferase (KDO) transferase	2019-08-26T08:18:18.000Z	{"GeneName":"kdtA","refseq":"HG941718"}
deg	DEG10480266	gene	[Escherichia coli ST131 strain EC958]	DEG10480266	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480266	lipopolysaccharide heptosyltransferase-1	2019-08-26T08:18:18.000Z	{"GeneName":"rfaC","refseq":"HG941718"}
deg	DEG10480265	gene	[Escherichia coli ST131 strain EC958]	DEG10480265	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480265	ADP-L-glycero-D-mannoheptose-6-epimerase	2019-08-26T08:18:18.000Z	{"GeneName":"rfaD","refseq":"HG941718"}
deg	DEG10480264	gene	[Escherichia coli ST131 strain EC958]	DEG10480264	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480264	glycine tRNA synthetase, alpha subunit	2019-08-26T08:18:18.000Z	{"GeneName":"glyQ","refseq":"HG941718"}
deg	DEG10480263	gene	[Escherichia coli ST131 strain EC958]	DEG10480263	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480263	glycine tRNA synthetase beta subunit	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480262	gene	[Escherichia coli ST131 strain EC958]	DEG10480262	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480262	cell division protein FtsY	2019-08-26T08:18:18.000Z	{"GeneName":"ftsY","refseq":"HG941718"}
deg	DEG10480261	gene	[Escherichia coli ST131 strain EC958]	DEG10480261	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480261	component of RNA polymerase, sigma 32 factor	2019-08-26T08:18:18.000Z	{"GeneName":"rpoH","refseq":"HG941718"}
deg	DEG10480260	gene	[Escherichia coli ST131 strain EC958]	DEG10480260	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480260	aspartate-semialdehyde dehydrogenase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480259	gene	[Escherichia coli ST131 strain EC958]	DEG10480259	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480259	putative protein IgaA-like membrane	2019-08-26T08:18:18.000Z	{"GeneName":"yrfF","refseq":"HG941718"}
deg	DEG10480258	gene	[Escherichia coli ST131 strain EC958]	DEG10480258	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480258	tryptophan tRNA synthetase	2019-08-26T08:18:18.000Z	{"GeneName":"trpS","refseq":"HG941718"}
deg	DEG10480257	gene	[Escherichia coli ST131 strain EC958]	DEG10480257	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480257	30S ribosomal subunit protein S12	2019-08-26T08:18:18.000Z	{"GeneName":"rpsL","refseq":"HG941718"}
deg	DEG10480256	gene	[Escherichia coli ST131 strain EC958]	DEG10480256	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480256	30S ribosomal subunit protein S7	2019-08-26T08:18:18.000Z	{"GeneName":"rpsG","refseq":"HG941718"}
deg	DEG10480255	gene	[Escherichia coli ST131 strain EC958]	DEG10480255	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480255	translation elongation factor EF-G GTP-binding protein chain	2019-08-26T08:18:18.000Z	{"GeneName":"fusA","refseq":"HG941718"}
deg	DEG10480254	gene	[Escherichia coli ST131 strain EC958]	DEG10480254	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480254	30S ribosomal subunit protein S10	2019-08-26T08:18:18.000Z	{"GeneName":"rpsJ","refseq":"HG941718"}
deg	DEG10480253	gene	[Escherichia coli ST131 strain EC958]	DEG10480253	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480253	50S ribosomal subunit protein L3	2019-08-26T08:18:18.000Z	{"GeneName":"rplC","refseq":"HG941718"}
deg	DEG10480252	gene	[Escherichia coli ST131 strain EC958]	DEG10480252	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480252	50S ribosomal subunit protein L4	2019-08-26T08:18:18.000Z	{"GeneName":"rplD","refseq":"HG941718"}
deg	DEG10480251	gene	[Escherichia coli ST131 strain EC958]	DEG10480251	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480251	50S ribosomal subunit protein L23	2019-08-26T08:18:18.000Z	{"GeneName":"rplW","refseq":"HG941718"}
deg	DEG10480250	gene	[Escherichia coli ST131 strain EC958]	DEG10480250	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480250	50S ribosomal subunit protein L2	2019-08-26T08:18:18.000Z	{"GeneName":"rplB","refseq":"HG941718"}
deg	DEG10480249	gene	[Escherichia coli ST131 strain EC958]	DEG10480249	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480249	30S ribosomal subunit protein S19	2019-08-26T08:18:18.000Z	{"GeneName":"rpsS","refseq":"HG941718"}
deg	DEG10480248	gene	[Escherichia coli ST131 strain EC958]	DEG10480248	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480248	50S ribosomal subunit protein L22	2019-08-26T08:18:18.000Z	{"GeneName":"rplV","refseq":"HG941718"}
deg	DEG10480247	gene	[Escherichia coli ST131 strain EC958]	DEG10480247	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480247	30S ribosomal subunit protein S3	2019-08-26T08:18:18.000Z	{"GeneName":"rpsC","refseq":"HG941718"}
deg	DEG10480246	gene	[Escherichia coli ST131 strain EC958]	DEG10480246	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480246	50S ribosomal subunit protein L16	2019-08-26T08:18:18.000Z	{"GeneName":"rplP","refseq":"HG941718"}
deg	DEG10480245	gene	[Escherichia coli ST131 strain EC958]	DEG10480245	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480245	50S ribosomal subunit protein L29	2019-08-26T08:18:18.000Z	{"GeneName":"rpmC","refseq":"HG941718"}
deg	DEG10480244	gene	[Escherichia coli ST131 strain EC958]	DEG10480244	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480244	30S ribosomal subunit protein S17	2019-08-26T08:18:18.000Z	{"GeneName":"rpsQ","refseq":"HG941718"}
deg	DEG10480243	gene	[Escherichia coli ST131 strain EC958]	DEG10480243	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480243	50S ribosomal subunit protein L14	2019-08-26T08:18:18.000Z	{"GeneName":"rplN","refseq":"HG941718"}
deg	DEG10480242	gene	[Escherichia coli ST131 strain EC958]	DEG10480242	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480242	50S ribosomal protein L24	2019-08-26T08:18:18.000Z	{"GeneName":"rplX","refseq":"HG941718"}
deg	DEG10480241	gene	[Escherichia coli ST131 strain EC958]	DEG10480241	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480241	50S ribosomal subunit protein L5	2019-08-26T08:18:18.000Z	{"GeneName":"rplE","refseq":"HG941718"}
deg	DEG10480240	gene	[Escherichia coli ST131 strain EC958]	DEG10480240	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480240	30S ribosomal subunit protein S14	2019-08-26T08:18:18.000Z	{"GeneName":"rpsN","refseq":"HG941718"}
deg	DEG10480239	gene	[Escherichia coli ST131 strain EC958]	DEG10480239	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480239	30S ribosomal subunit protein S8, and regulator	2019-08-26T08:18:18.000Z	{"GeneName":"rpsH","refseq":"HG941718"}
deg	DEG10480238	gene	[Escherichia coli ST131 strain EC958]	DEG10480238	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480238	50S ribosomal subunit protein L6	2019-08-26T08:18:18.000Z	{"GeneName":"rplF","refseq":"HG941718"}
deg	DEG10480237	gene	[Escherichia coli ST131 strain EC958]	DEG10480237	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480237	50S ribosomal subunit protein L18	2019-08-26T08:18:18.000Z	{"GeneName":"rplR","refseq":"HG941718"}
deg	DEG10480236	gene	[Escherichia coli ST131 strain EC958]	DEG10480236	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480236	30S ribosomal subunit protein S5	2019-08-26T08:18:18.000Z	{"GeneName":"rpsE","refseq":"HG941718"}
deg	DEG10480235	gene	[Escherichia coli ST131 strain EC958]	DEG10480235	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480235	50S ribosomal subunit protein L30	2019-08-26T08:18:18.000Z	{"GeneName":"rpmD","refseq":"HG941718"}
deg	DEG10480234	gene	[Escherichia coli ST131 strain EC958]	DEG10480234	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480234	50S ribosomal subunit protein L15	2019-08-26T08:18:18.000Z	{"GeneName":"rplO","refseq":"HG941718"}
deg	DEG10480233	gene	[Escherichia coli ST131 strain EC958]	DEG10480233	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480233	putative ATPase subunit of translocase	2019-08-26T08:18:18.000Z	{"GeneName":"secY","refseq":"HG941718"}
deg	DEG10480232	gene	[Escherichia coli ST131 strain EC958]	DEG10480232	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480232	30S ribosomal subunit protein S13	2019-08-26T08:18:18.000Z	{"GeneName":"rpsM","refseq":"HG941718"}
deg	DEG10480231	gene	[Escherichia coli ST131 strain EC958]	DEG10480231	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480231	30S ribosomal subunit protein S11	2019-08-26T08:18:18.000Z	{"GeneName":"rpsK","refseq":"HG941718"}
deg	DEG10480230	gene	[Escherichia coli ST131 strain EC958]	DEG10480230	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480230	30S ribosomal subunit protein S4	2019-08-26T08:18:18.000Z	{"GeneName":"rpsD","refseq":"HG941718"}
deg	DEG10480229	gene	[Escherichia coli ST131 strain EC958]	DEG10480229	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480229	RNA polymerase, alpha subunit	2019-08-26T08:18:18.000Z	{"GeneName":"rpoA","refseq":"HG941718"}
deg	DEG10480228	gene	[Escherichia coli ST131 strain EC958]	DEG10480228	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480228	50S ribosomal subunit protein L17	2019-08-26T08:18:18.000Z	{"GeneName":"rplQ","refseq":"HG941718"}
deg	DEG10480227	gene	[Escherichia coli ST131 strain EC958]	DEG10480227	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480227	methionyl-tRNA formyltransferase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480226	gene	[Escherichia coli ST131 strain EC958]	DEG10480226	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480226	protein YrdC	2019-08-26T08:18:18.000Z	{"GeneName":"yrdC","refseq":"HG941718"}
deg	DEG10480225	gene	[Escherichia coli ST131 strain EC958]	DEG10480225	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480225	acetyl CoA carboxylase, biotin carboxylase subunit	2019-08-26T08:18:18.000Z	{"GeneName":"accC","refseq":"HG941718"}
deg	DEG10480224	gene	[Escherichia coli ST131 strain EC958]	DEG10480224	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480224	biotin carboxyl carrier protein (BCCP) of acetyl-CoA carboxylase	2019-08-26T08:18:18.000Z	{"GeneName":"accB","refseq":"HG941718"}
deg	DEG10480223	gene	[Escherichia coli ST131 strain EC958]	DEG10480223	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480223	regulator of FtsI	2019-08-26T08:18:18.000Z	{"GeneName":"mreB","refseq":"HG941718"}
deg	DEG10480222	gene	[Escherichia coli ST131 strain EC958]	DEG10480222	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480222	50S ribosomal subunit protein L13	2019-08-26T08:18:18.000Z	{"GeneName":"rplM","refseq":"HG941718"}
deg	DEG10480221	gene	[Escherichia coli ST131 strain EC958]	DEG10480221	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480221	putative ATP-binding component of a transport system	2019-08-26T08:18:18.000Z	{"GeneName":"yhbG","refseq":"HG941718"}
deg	DEG10480220	gene	[Escherichia coli ST131 strain EC958]	DEG10480220	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480220	hypothetical protein	2019-08-26T08:18:18.000Z	{"GeneName":"yhbN","refseq":"HG941718"}
deg	DEG10480219	gene	[Escherichia coli ST131 strain EC958]	DEG10480219	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480219	UDP-N-glucosamine 1-carboxyvinyltransferase	2019-08-26T08:18:18.000Z	{"GeneName":"murA","refseq":"HG941718"}
deg	DEG10480218	gene	[Escherichia coli ST131 strain EC958]	DEG10480218	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480218	octaprenyl diphosphate synthase	2019-08-26T08:18:18.000Z	{"GeneName":"ispB","refseq":"HG941718"}
deg	DEG10480217	gene	[Escherichia coli ST131 strain EC958]	DEG10480217	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480217	50S ribosomal subunit protein L21	2019-08-26T08:18:18.000Z	{"GeneName":"rplU","refseq":"HG941718"}
deg	DEG10480216	gene	[Escherichia coli ST131 strain EC958]	DEG10480216	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480216	50S ribosomal subunit protein L27	2019-08-26T08:18:18.000Z	{"GeneName":"rpmA","refseq":"HG941718"}
deg	DEG10480215	gene	[Escherichia coli ST131 strain EC958]	DEG10480215	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480215	ATP-binding protein	2019-08-26T08:18:18.000Z	{"GeneName":"mrsC","refseq":"HG941718"}
deg	DEG10480214	gene	[Escherichia coli ST131 strain EC958]	DEG10480214	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480214	protein MrsA	2019-08-26T08:18:18.000Z	{"GeneName":"mrsA","refseq":"HG941718"}
deg	DEG10480213	gene	[Escherichia coli ST131 strain EC958]	DEG10480213	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480213	translation initiation factor IF2-alpha	2019-08-26T08:18:18.000Z	{"GeneName":"infB","refseq":"HG941718"}
deg	DEG10480212	gene	[Escherichia coli ST131 strain EC958]	DEG10480212	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480212	threonine dehydratase operon activator protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480211	gene	[Escherichia coli ST131 strain EC958]	DEG10480211	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480211	RNA polymerase sigma factor RpoD	2019-08-26T08:18:18.000Z	{"GeneName":"rpoD","refseq":"HG941718"}
deg	DEG10480210	gene	[Escherichia coli ST131 strain EC958]	DEG10480210	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480210	DNA primase	2019-08-26T08:18:18.000Z	{"GeneName":"dnaG","refseq":"HG941718"}
deg	DEG10480209	gene	[Escherichia coli ST131 strain EC958]	DEG10480209	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480209	30S ribosomal subunit protein S21	2019-08-26T08:18:18.000Z	{"GeneName":"rpsU","refseq":"HG941718"}
deg	DEG10480208	gene	[Escherichia coli ST131 strain EC958]	DEG10480208	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480208	probable O-sialoglycoprotein endopeptidase	2019-08-26T08:18:18.000Z	{"GeneName":"ygjD","refseq":"HG941718"}
deg	DEG10480207	gene	[Escherichia coli ST131 strain EC958]	DEG10480207	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480207	dihydroneopterin aldolase	2019-08-26T08:18:18.000Z	{"GeneName":"ygiG","refseq":"HG941718"}
deg	DEG10480206	gene	[Escherichia coli ST131 strain EC958]	DEG10480206	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480206	ADP-heptose synthase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480205	gene	[Escherichia coli ST131 strain EC958]	DEG10480205	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480205	topoisomerase IV subunit B	2019-08-26T08:18:18.000Z	{"GeneName":"parE","refseq":"HG941718"}
deg	DEG10480204	gene	[Escherichia coli ST131 strain EC958]	DEG10480204	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480204	type VI protein secretion system component Hcp	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480203	gene	[Escherichia coli ST131 strain EC958]	DEG10480203	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480203	topoisomerase IV subunit A	2019-08-26T08:18:18.000Z	{"GeneName":"parC","refseq":"HG941718"}
deg	DEG10480202	gene	[Escherichia coli ST131 strain EC958]	DEG10480202	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480202	1-acyl-sn-glycerol-3-phosphate acyltransferase	2019-08-26T08:18:18.000Z	{"GeneName":"plsC","refseq":"HG941718"}
deg	DEG10480201	gene	[Escherichia coli ST131 strain EC958]	DEG10480201	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480201	hypothetical protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480200	gene	[Escherichia coli ST131 strain EC958]	DEG10480200	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480200	hypothetical protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480199	gene	[Escherichia coli ST131 strain EC958]	DEG10480199	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480199	hypothetical protein	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480197	gene	[Escherichia coli ST131 strain EC958]	DEG10480197	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480197	phosphoglycerate kinase	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480196	gene	[Escherichia coli ST131 strain EC958]	DEG10480196	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480196	fructose-bisphosphate aldolase class II	2019-08-26T08:18:18.000Z	{"refseq":"HG941718"}
deg	DEG10480195	gene	[Escherichia coli ST131 strain EC958]	DEG10480195	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480195	peptide chain release factor RF-2	2019-08-26T08:18:18.000Z	{"GeneName":"prfA","refseq":"HG941718"}
deg	DEG10480194	gene	[Escherichia coli ST131 strain EC958]	DEG10480194	http://tubic.org/deg/public/index.php/information/bacteria/DEG10480194	lysine tRNA synthetase	2019-08-26T08:18:18.000Z	{"GeneName":"lysS","refseq":"HG941718"}
